fit x,fit y
115.0000000000000,0.3481357480204679
116.0000000000000,0.5248526965758629
117.0000000000000,0.6776562425005181
118.0000000000000,0.8084824715177774
119.0000000000000,0.9191580874563101
120.0000000000000,1.011404619130190
121.0000000000000,1.086842539186989
122.0000000000000,1.146995294924011
123.0000000000000,1.193293251072646
124.0000000000000,1.227077544551094
125.0000000000000,1.249603851184816
126.0000000000000,1.262046064395463
127.0000000000000,1.265499885857821
128.0000000000000,1.260986328125000
129.0000000000000,1.249455129221815
130.0000000000000,1.231788079204080
131.0000000000000,1.208802258692458
132.0000000000000,1.181253189367226
133.0000000000000,1.149837896432814
134.0000000000000,1.115197883053270
135.0000000000000,1.077922016756133
136.0000000000000,1.038549327800865
137.0000000000000,0.9975717195153493
138.0000000000000,0.9554365906041085
139.0000000000000,0.9125493694249371
140.0000000000000,0.8692759602297429
141.0000000000000,0.8259451013733496
142.0000000000000,0.7828506354949241
143.0000000000000,0.7402536916661120
144.0000000000000,0.6983847795054317
145.0000000000000,0.6574457952592638
146.0000000000000,0.6176119398555784
147.0000000000000,0.5790335489252811
148.0000000000000,0.5418378347883390
149.0000000000000,0.5061305404078666
150.0000000000000,0.4719975053160397
151.0000000000000,0.4395061435086518
152.0000000000000,0.4087068333028583
153.0000000000000,0.3796342191649273
154.0000000000000,0.3523084255075446
155.0000000000000,0.3267361824575801
156.0000000000000,0.3029118635865871
157.0000000000000,0.2808184356103993
158.0000000000000,0.2604283200596456
159.0000000000000,0.2417041669195896
160.0000000000000,0.2245995402336121
161.0000000000000,0.2090595156751078
162.0000000000000,0.1950211900903014
163.0000000000000,0.1824141030115243
164.0000000000000,0.1711605701320877
165.0000000000000,0.1611759287511632
166.0000000000000,0.1523686951900345
167.0000000000000,0.1446406341769944
168.0000000000000,0.1378867401945172
169.0000000000000,0.1319951307955307
170.0000000000000,0.1268468519015187
171.0000000000000,0.1223155950401633
172.0000000000000,0.1182673265857375
173.0000000000000,0.1145598289385816
174.0000000000000,0.1110421536900503
175.0000000000000,0.1075539867510997
176.0000000000000,0.1039249254390597
177.0000000000000,0.09997366755578696
178.0000000000000,0.09550711241126919
179.0000000000000,0.09031937381814714
180.0000000000000,0.08419070507352444
181.0000000000000,0.07688633588350058
182.0000000000000,0.06815522127362783
183.0000000000000,0.05772870246346429
184.0000000000000,0.04531907969794702
