 Output file produced by H2NEWD.FOR
100 eV, 300 K, 0.7 ISO, 2e13 new self-abs                   
 .12009220D+04  .22079E+00  .29063E-11  4( 0, 4)P C-X  .29044E-02
 .11915500D+04  .40415E+00  .53617E-11  2( 0, 4)R C-X  .94209E-02
 .12486890D+04  .39237E-01  .49672E-12  4( 0, 5)P C-X  .55803E-03
 .12391620D+04  .39780E-01  .50747E-12  2( 0, 5)R C-X  .10029E-02
 .12965600D+04  .32743E-02  .39921E-13  4( 0, 6)P C-X  .50207E-04
 .12869510D+04  .72646E-03  .89232E-14  2( 0, 6)R C-X  .19754E-04
 .13440200D+04  .79111E-03  .93048E-14  4( 0, 7)P C-X  .13035E-04
 .13344280D+04  .75824E-03  .89822E-14  2( 0, 7)R C-X  .22168E-04
 .13904040D+04  .35494E-03  .40355E-14  4( 0, 8)P C-X  .62589E-05
 .13809550D+04  .45765E-03  .52388E-14  2( 0, 8)R C-X  .14329E-04
 .14348530D+04  .11503E-02  .12673E-13  4( 0, 9)P C-X  .21601E-04
 .14257160D+04  .68547E-03  .76003E-14  2( 0, 9)R C-X  .22876E-04
 .14762800D+04  .18884E-04  .20221E-15  4( 0,10)P C-X  .37540E-06
 .14676700D+04  .14029E-03  .15110E-14  2( 0,10)R C-X  .49615E-05
 .15133200D+04  .11499E-02  .12012E-13  4( 0,11)P C-X  .24020E-04
 .15055280D+04  .94455E-03  .99177E-14  2( 0,11)R C-X  .35150E-04
 .15442670D+04  .31368E-03  .32109E-14  4( 0,12)P C-X  .68231E-05
 .15376630D+04  .10132E-03  .10416E-14  2( 0,12)R C-X  .39330E-05
 .15669920D+04  .14287E-02  .14413E-13  4( 0,13)P C-X  .31998E-04
 .15620860D+04  .30464E-03  .30829E-14  2( 0,13)R C-X  .12205E-04
 .10207990D+04  .73325E+00  .11355E-10  5( 0, 0)P C-X  .10750E-01
 .10101300D+04  .61289E+00  .95914E-11  3( 0, 0)R C-X  .13893E-01
 .10650900D+04  .18430E+01  .27353E-10  5( 0, 1)P C-X  .29416E-01
 .10540600D+04  .15737E+01  .23600E-10  3( 0, 1)R C-X  .38656E-01
 .11105120D+04  .16557E+01  .23568E-10  5( 0, 2)P C-X  .28727E-01
 .10991430D+04  .16796E+01  .24157E-10  3( 0, 2)R C-X  .44864E-01
 .11569060D+04  .66204E+00  .90461E-11  5( 0, 3)P C-X  .12467E-01
 .11452320D+04  .96996E+00  .13389E-10  3( 0, 3)R C-X  .28127E-01
 .12040470D+04  .13971E+00  .18343E-11  5( 0, 4)P C-X  .28497E-02
 .11921160D+04  .29060E+00  .38534E-11  3( 0, 4)R C-X  .91306E-02
 .12516320D+04  .26537E-01  .33516E-12  5( 0, 5)P C-X  .58490E-03
 .12395150D+04  .28273E-01  .36058E-12  3( 0, 5)R C-X  .96040E-03
 .12992560D+04  .38028E-02  .46268E-13  5( 0, 6)P C-X  .90318E-04
 .12870490D+04  .45665E-04  .56088E-15  3( 0, 6)R C-X  .16724E-05
 .13463910D+04  .63435E-03  .74479E-14  5( 0, 7)P C-X  .16179E-04
 .13342200D+04  .40488E-03  .47970E-14  3( 0, 7)R C-X  .15935E-04
 .13923510D+04  .86521E-03  .98231E-14  5( 0, 8)P C-X  .23599E-04
 .13803820D+04  .10605E-02  .12145E-13  3( 0, 8)R C-X  .44677E-04
 .14362560D+04  .11417E-02  .12566E-13  5( 0, 9)P C-X  .33137E-04
 .14247090D+04  .52323E-03  .58055E-14  3( 0, 9)R C-X  .23481E-04
 .14769910D+04  .16470E-03  .17627E-14  5( 0,10)P C-X  .50551E-05
 .14661520D+04  .51262E-03  .55271E-14  3( 0,10)R C-X  .24363E-04
 .15131540D+04  .15246E-02  .15927E-13  5( 0,11)P C-X  .49113E-04
 .15033940D+04  .11636E-02  .12235E-13  3( 0,11)R C-X  .58148E-04
 .15429850D+04  .21822E-03  .22357E-14  5( 0,12)P C-X  .73096E-05
 .15347950D+04  .17569E-04  .18096E-15  3( 0,12)R C-X  .91502E-06
 .15642650D+04  .17876E-02  .18065E-13  5( 0,13)P C-X  .61541E-04
 .15583260D+04  .25492E-03  .25859E-14  3( 0,13)R C-X  .13686E-04
 .10247320D+04  .32297E-01  .49822E-12  6( 0, 0)P C-X  .10410E-01
 .10118140D+04  .30961E-01  .48372E-12  4( 0, 0)R C-X  .14054E-01
 .10689820D+04  .90062E-01  .13318E-11  6( 0, 1)P C-X  .31589E-01
 .10556330D+04  .71125E-01  .10651E-11  4( 0, 1)R C-X  .35140E-01
 .11143300D+04  .85386E-01  .12113E-11  6( 0, 2)P C-X  .32543E-01
 .11005780D+04  .71139E-01  .10218E-11  4( 0, 2)R C-X  .38203E-01
 .11606040D+04  .31943E-01  .43507E-12  6( 0, 3)P C-X  .13207E-01
 .11464940D+04  .43410E-01  .59854E-12  4( 0, 3)R C-X  .25298E-01
 .12075710D+04  .51934E-02  .67986E-13  6( 0, 4)P C-X  .23245E-02
 .11931670D+04  .15590E-01  .20654E-12  4( 0, 4)R C-X  .98399E-02
 .12549190D+04  .11282E-02  .14212E-13  6( 0, 5)P C-X  .54535E-03
 .12403070D+04  .16215E-02  .20667E-13  4( 0, 5)R C-X  .11060E-02
 .13022290D+04  .45944E-03  .55772E-14  6( 0, 6)P C-X  .23914E-03
 .12875260D+04  .37757E-04  .46357E-15  4( 0, 6)R C-X  .27750E-04
 .13489510D+04  .28083E-04  .32909E-15  6( 0, 7)P C-X  .15685E-04
 .13343140D+04  .17496E-05  .20727E-16  4( 0, 7)R C-X  .13810E-05
 .13943790D+04  .20315E-03  .23031E-14  6( 0, 8)P C-X  .12124E-03
 .13800190D+04  .21578E-03  .24717E-14  4( 0, 8)R C-X  .18219E-03
 .14376080D+04  .96587E-04  .10621E-14  6( 0, 9)P C-X  .61271E-04
 .14237960D+04  .18291E-04  .20308E-15  4( 0, 9)R C-X  .16440E-04
 .14774880D+04  .71958E-04  .76989E-15  6( 0,10)P C-X  .48215E-04
 .14645780D+04  .14660E-03  .15823E-14  4( 0,10)R C-X  .13942E-03
 .15125690D+04  .21775E-03  .22757E-14  6( 0,11)P C-X  .15291E-03
 .15010260D+04  .13048E-03  .13741E-14  4( 0,11)R C-X  .13034E-03
 .15410270D+04  .83541E-05  .85697E-16  6( 0,12)P C-X  .60894E-05
 .15314670D+04  .41979E-05  .43331E-16  4( 0,12)R C-X  .43651E-05
 .15604960D+04  .24990E-03  .25315E-14  6( 0,13)P C-X  .18679E-03
 .15538150D+04  .23832E-04  .24246E-15  4( 0,13)R C-X  .25510E-04
 .10293530D+04  .73003E-03  .11211E-13  7( 0, 0)P C-X  .55582E-03
 .10142420D+04  .25944E-01  .40437E-12  5( 0, 0)R C-X  .26152E-01
 .10735540D+04  .21691E-01  .31940E-12  7( 0, 1)P C-X  .17964E-01
 .10579550D+04  .23482E-01  .35087E-12  5( 0, 1)R C-X  .25754E-01
 .11188150D+04  .40893E-01  .57778E-12  7( 0, 2)P C-X  .36782E-01
 .11027570D+04  .64931E-02  .93078E-13  5( 0, 2)R C-X  .77371E-02
 .11649510D+04  .99963E-02  .13564E-12  7( 0, 3)P C-X  .97482E-02
 .11484920D+04  .60378E-02  .83105E-13  5( 0, 3)R C-X  .78038E-02
 .12117220D+04  .25043E-03  .32670E-14  7( 0, 4)P C-X  .26421E-03
 .11949360D+04  .11325E-01  .14982E-12  5( 0, 4)R C-X  .15845E-01
 .12587950D+04  .29788E-04  .37407E-15  7( 0, 5)P C-X  .33917E-04
 .12417900D+04  .21346E-02  .27173E-13  5( 0, 5)R C-X  .32253E-02
