0.301625 0.04730
0.307942 0.05541
0.316964 0.07136
0.332428 0.09872
0.343830 0.12468
0.354139 0.15426
0.361856 0.18207
0.369603 0.21355
0.375539 0.24185
0.383036 0.27483
0.390534 0.30851
0.398500 0.34078
0.405529 0.36639
0.414901 0.39360
0.425679 0.42182
0.436925 0.44883
0.448171 0.47620
0.459418 0.50347
0.471133 0.53022
0.484722 0.55625
0.499717 0.57807
0.516118 0.59822
0.533925 0.61735
0.552669 0.63094
0.562978 0.63687
0.573287 0.64306
0.583596 0.64564
0.593905 0.64471
0.599528 0.64389
0.614523 0.64178
0.620615 0.64003
0.635142 0.63272
0.644201 0.62658
0.655760 0.61729
0.672630 0.60019
0.689499 0.57965
0.704494 0.55688
0.717615 0.53131
0.731204 0.50594
0.744325 0.47988
0.756509 0.45330
0.768692 0.42691
0.780876 0.40051
0.793059 0.37402
0.805243 0.34771
0.817426 0.32122
0.829141 0.29533
0.841793 0.26878
0.855383 0.24294
0.868503 0.21815
0.881624 0.19313
0.894745 0.16802
0.908803 0.14355
0.924267 0.11956
0.939730 0.09917
0.956122 0.08106
0.973105 0.06351
0.979422 0.05676
0.989350 0.04730
0.996570 0.04054
