G_BP 0.510971 4.07852e-9 176.55
G    0.621759 2.50386e-9 146.44
G_RP 0.776902 1.26902e-9 117.39
B    0.439008 6.29336e-9 183.79
V    0.550142 3.57453e-9 181.95
R    0.641442 2.24563e-9 160.38
I    0.785832 1.20234e-9 116.57
g    0.476311 5.26607e-9 187.86
gp   0.476311 5.26607e-9 187.86
r    0.624698 2.42573e-9 166.29
i    0.771828 1.27433e-9 120.38
ip   0.771828 1.27433e-9 120.38
z    1.082983 4.94546e-10 60.77
