 0.2600 0.0000
 0.2700 0.0000
 0.3016 0.0473
 0.3079 0.0554
 0.3170 0.0714
 0.3324 0.0987
 0.3438 0.1247
 0.3541 0.1543
 0.3619 0.1821
 0.3696 0.2136
 0.3755 0.2419
 0.3830 0.2748
 0.3905 0.3085
 0.3985 0.3408
 0.4055 0.3664
 0.4149 0.3936
 0.4257 0.4218
 0.4369 0.4488
 0.4482 0.4762
 0.4594 0.5035
 0.4711 0.5302
 0.4847 0.5563
 0.4997 0.5781
 0.5161 0.5982
 0.5339 0.6174
 0.5527 0.6309
 0.5630 0.6369
 0.5733 0.6431
 0.5836 0.6456
 0.5939 0.6447
 0.5995 0.6439
 0.6145 0.6418
 0.6206 0.6400
 0.6351 0.6327
 0.6442 0.6266
 0.6558 0.6173
 0.6726 0.6002
 0.6895 0.5797
 0.7045 0.5569
 0.7176 0.5313
 0.7312 0.5059
 0.7443 0.4799
 0.7565 0.4533
 0.7687 0.4269
 0.7809 0.4005
 0.7931 0.3740
 0.8052 0.3477
 0.8174 0.3212
 0.8291 0.2953
 0.8418 0.2688
 0.8554 0.2429
 0.8685 0.2182
 0.8816 0.1931
 0.8947 0.1680
 0.9088 0.1435
 0.9243 0.1196
 0.9397 0.0992
 0.9561 0.0811
 0.9731 0.0635
 0.9794 0.0568
 0.9894 0.0473
 0.9966 0.0405
 1.0400 0.0000
 1.0500 0.0000
