x0.300000 0.04274
x0.310000 0.01712
x0.320000 0.00679
x0.330000 0.00309
0.340000 0.00158
0.350000 0.00628
0.360000 0.09213
0.370000 0.27047
0.380000 0.43348
0.390000 0.55073
0.400000 0.62339
0.410000 0.66400
0.420000 0.68434
0.430000 0.68200
0.440000 0.66397
0.450000 0.62241
0.460000 0.55892
0.470000 0.43422
0.480000 0.27924
0.490000 0.15065
0.500000 0.07897
0.510000 0.03050
0.520000 0.00943
0.530000 0.00226
0.540000 0.00109
0.550000 0.00173
0.560000 0.00311
0.570000 0.00147
0.580000 0.00000
0.590000 0.00004
0.600000 0.00000
0.610000 0.00000
