element	sp_num	obs_wl_vac(nm)	ritz_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
N	3	""	"156.106"	""	"1.10e+08"	B	"321066.8"	"385126"	"2s.2p.(3P*).3p"	"2D"	"5/2"	"2s.2p.(3P*).4d"	"2D*"	"5/2"		"T7192LS"	""	
N	3	""	"156.106"	""	"1.18e+07"	B	"321066.8"	"385126"	"2s.2p.(3P*).3p"	"2D"	"5/2"	"2s.2p.(3P*).4d"	"2D*"	"3/2"		"T7192LS"	""	
N	3	""	"157.4312"	""	"5.26e+06"	B	"245665.4"	"309185.2"	"2s2.3p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"		"T7192LS"	""	
N	4	""	"157.5183"	""	"1.24e-02"	B	"67209.2"	"130693.9"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.2p"	"1P*"	"1"	M1	"T4492,T3474"	""	
N	3	""	"157.5203"	""	"2.63e+07"	B	"245701.3"	"309185.2"	"2s2.3p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"3/2"		"T7192LS"	""	
N	3	""	"157.5652"	""	"2.10e+07"	B	"245665.4"	"309131.2"	"2s2.3p"	"2P*"	"1/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"		"T7192LS"	""	
N	3	""	"157.6076"	""	"5.18e+07"	B	"377577.9"	"441026.6"	"2s.2p.(1P*).3p"	"2P"	"1/2"	"2p2.(3P).3p"	"2S*"	"1/2"		"T7192LS"	""	
N	3	""	"157.6544"	""	"1.05e+07"	B	"245701.3"	"309131.2"	"2s2.3p"	"2P*"	"3/2"	"2s.2p.(3P*).3p"	"2P"	"1/2"		"T7192LS"	""	
N	4	""	"157.6750"	""	"2.24e-02"	E	"67272.3"	"130693.9"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.2p"	"1P*"	"1"	M1	"T4492,T3474"	""	
N	4	""	"157.6750"	""	"3.26e-04"	D	"67272.3"	"130693.9"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.2p"	"1P*"	"1"	E2	"T4586"	""	
N	3	""	"157.6907"	""	"1.03e+08"	B	"377611.3"	"441026.6"	"2s.2p.(1P*).3p"	"2P"	"3/2"	"2p2.(3P).3p"	"2S*"	"1/2"		"T7192LS"	""	
N	4	""	"158.0338"	""	"1.54e-02"	B	"67416.3"	"130693.9"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.2p"	"1P*"	"1"	M1	"T4492,T3474"	""	
N	4	""	"158.0338"	""	"2.25e-04"	D	"67416.3"	"130693.9"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.2p"	"1P*"	"1"	E2	"T4586"	""	
N	3	""	"158.4422"	""	"8.77e+06"	B	"311690.3"	"374804.8"	"2s2.4p"	"2P*"	"1/2"	"2s.2p.(3P*).4p"	"2P"	"3/2"		"T7192LS"	""	
N	3	""	"158.5047"	""	"4.38e+07"	B	"311715.2"	"374804.8"	"2s2.4p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"3/2"		"T7192LS"	""	
N	3	""	"158.5889"	""	"3.50e+07"	B	"311690.3"	"374746.4"	"2s2.4p"	"2P*"	"1/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"		"T7192LS"	""	
N	3	""	"158.6516"	""	"1.75e+07"	B	"311715.2"	"374746.4"	"2s2.4p"	"2P*"	"3/2"	"2s.2p.(3P*).4p"	"2P"	"1/2"		"T7192LS"	""	
N	2	""	"159.009"	""	"1.79e-01"	C	"92237.2"	"155126.73"	"2s.2p3"	"3D*"	"3"	"2s.2p3"	"3S*"	"1"	E2	"T7333"	""	
N	2	""	"159.0141"	""	"3.89e+06"	B	"148940.17"	"211827.67"	"2s2.2p.3s"	"3P*"	"1"	"2s.2p2.(4P).3s"	"3P"	"2"		"T6385n"	""	
N	2	""	"159.042"	""	"1.11e-01"	C	"92250.3"	"155126.73"	"2s.2p3"	"3D*"	"2"	"2s.2p3"	"3S*"	"1"	E2	"T7333"	""	
N	2	""	"159.046"	""	"6.05e-02"	C	"92251.8"	"155126.73"	"2s.2p3"	"3D*"	"1"	"2s.2p3"	"3S*"	"1"	E2	"T7333"	""	
N	2	""	"159.0562"	""	"5.39e+06"	B	"148908.59"	"211779.45"	"2s2.2p.3s"	"3P*"	"0"	"2s.2p2.(4P).3s"	"3P"	"1"		"T6385n"	""	
