   127.400,     0.906
   127.513,     0.905
   127.626,     0.904
   127.740,     0.903
   127.853,     0.903
   127.966,     0.902
   128.079,     0.901
   128.192,     0.900
   128.305,     0.900
   128.419,     0.899
   128.532,     0.898
   128.645,     0.897
   128.758,     0.897
   128.871,     0.896
   128.984,     0.895
   129.098,     0.894
   129.211,     0.894
   129.324,     0.893
   129.437,     0.892
   129.550,     0.891
   129.663,     0.891
   129.776,     0.890
   129.890,     0.889
   130.003,     0.888
   130.116,     0.888
   130.229,     0.887
   130.342,     0.886
   130.455,     0.885
   130.569,     0.885
   130.682,     0.884
   130.795,     0.883
   130.908,     0.882
   131.021,     0.882
   131.134,     0.881
   131.248,     0.880
   131.361,     0.879
   131.474,     0.879
   131.587,     0.878
   131.700,     0.877
   131.813,     0.876
   131.927,     0.876
   132.040,     0.875
   132.153,     0.874
   132.266,     0.873
   132.379,     0.872
   132.492,     0.872
   132.606,     0.871
   132.719,     0.870
   132.832,     0.869
   132.945,     0.869
   133.058,     0.868
   133.171,     0.867
   133.285,     0.866
   133.398,     0.866
   133.511,     0.865
   133.624,     0.864
   133.737,     0.863
   133.850,     0.863
   133.964,     0.862
   134.077,     0.861
   134.190,     0.860
   134.303,     0.860
   134.416,     0.859
   134.529,     0.858
   134.643,     0.857
   134.756,     0.857
   134.869,     0.856
   134.982,     0.855
   135.095,     0.854
   135.208,     0.854
   135.322,     0.853
   135.435,     0.852
   135.548,     0.851
   135.661,     0.851
   135.774,     0.850
   135.887,     0.849
   136.001,     0.848
   136.114,     0.848
   136.227,     0.847
   136.340,     0.846
   136.453,     0.845
   136.566,     0.845
   136.680,     0.844
   136.793,     0.843
   136.906,     0.842
   137.019,     0.841
   137.132,     0.841
   137.245,     0.840
   137.359,     0.839
   137.472,     0.838
   137.585,     0.838
   137.698,     0.837
   137.811,     0.836
   137.924,     0.835
   138.038,     0.835
   138.151,     0.834
   138.264,     0.833
   138.377,     0.832
   138.490,     0.832
   138.603,     0.831
   138.717,     0.830
   138.830,     0.829
   138.943,     0.829
   139.056,     0.828
   139.169,     0.827
   139.282,     0.826
   139.396,     0.826
   139.509,     0.825
   139.622,     0.824
   139.735,     0.823
   139.848,     0.823
   139.961,     0.822
   140.075,     0.821
   140.188,     0.820
   140.301,     0.820
   140.414,     0.819
   140.527,     0.818
   140.640,     0.817
   140.754,     0.817
   140.867,     0.816
   140.980,     0.815
   141.093,     0.814
   141.206,     0.814
   141.319,     0.813
   141.433,     0.812
   141.546,     0.811
   141.659,     0.811
   141.772,     0.810
   141.885,     0.809
   141.998,     0.808
   142.112,     0.807
   142.225,     0.807
   142.338,     0.806
   142.451,     0.805
   142.564,     0.804
   142.677,     0.804
   142.791,     0.803
   142.904,     0.802
   143.017,     0.801
   143.130,     0.801
   143.243,     0.800
   143.356,     0.799
   143.470,     0.798
   143.583,     0.798
   143.696,     0.797
   143.809,     0.796
   143.922,     0.795
   144.035,     0.795
   144.149,     0.794
   144.262,     0.793
   144.375,     0.792
   144.488,     0.792
   144.601,     0.791
   144.714,     0.790
   144.828,     0.789
   144.941,     0.789
   145.054,     0.788
   145.167,     0.787
   145.280,     0.786
   145.393,     0.786
   145.507,     0.785
   145.620,     0.784
   145.733,     0.783
   145.846,     0.783
   145.959,     0.782
   146.072,     0.781
   146.186,     0.780
   146.299,     0.780
   146.412,     0.779
   146.525,     0.778
   146.638,     0.777
   146.751,     0.777
   146.865,     0.776
   146.978,     0.775
   147.091,     0.774
   147.204,     0.773
   147.317,     0.773
   147.430,     0.772
   147.544,     0.771
   147.657,     0.770
   147.770,     0.770
   147.883,     0.769
   147.996,     0.768
   148.109,     0.767
   148.223,     0.767
   148.336,     0.766
   148.449,     0.765
   148.562,     0.764
   148.675,     0.764
   148.788,     0.763
   148.902,     0.762
   149.015,     0.761
   149.128,     0.761
   149.241,     0.760
   149.354,     0.759
   149.467,     0.758
   149.581,     0.758
   149.694,     0.757
   149.807,     0.756
   149.920,     0.755
   150.033,     0.755
   150.146,     0.754
   150.260,     0.753
   150.373,     0.752
   150.486,     0.752
   150.599,     0.751
   150.712,     0.750
   150.825,     0.749
   150.939,     0.749
   151.052,     0.748
   151.165,     0.747
   151.278,     0.746
   151.391,     0.746
   151.504,     0.745
   151.618,     0.744
   151.731,     0.743
   151.844,     0.743
   151.957,     0.742
   152.070,     0.741
   152.183,     0.740
   152.297,     0.739
   152.410,     0.739
   152.523,     0.738
   152.636,     0.737
   152.749,     0.736
   152.862,     0.736
   152.976,     0.735
   153.089,     0.734
   153.202,     0.733
   153.315,     0.733
   153.428,     0.732
   153.541,     0.731
   153.655,     0.730
   153.768,     0.730
   153.881,     0.729
   153.994,     0.728
   154.107,     0.727
   154.220,     0.727
   154.334,     0.726
   154.447,     0.725
   154.560,     0.724
