   120.340,     1.403
   120.427,     1.401
   120.515,     1.399
   120.602,     1.397
   120.689,     1.395
   120.777,     1.393
   120.864,     1.391
   120.951,     1.390
   121.039,     1.388
   121.126,     1.386
   121.214,     1.384
   121.301,     1.382
   121.388,     1.380
   121.476,     1.378
   121.563,     1.377
   121.650,     1.375
   121.738,     1.373
   121.825,     1.371
   121.912,     1.369
   122.000,     1.367
   122.087,     1.365
   122.174,     1.364
   122.262,     1.362
   122.349,     1.360
   122.437,     1.358
   122.524,     1.356
   122.611,     1.354
   122.699,     1.352
   122.786,     1.351
   122.873,     1.349
   122.961,     1.347
   123.048,     1.345
   123.135,     1.343
   123.223,     1.341
   123.310,     1.339
   123.397,     1.338
   123.485,     1.336
   123.572,     1.334
   123.659,     1.332
   123.747,     1.330
   123.834,     1.328
   123.922,     1.326
   124.009,     1.325
   124.096,     1.323
   124.184,     1.321
   124.271,     1.319
   124.358,     1.317
   124.446,     1.315
   124.533,     1.313
   124.620,     1.312
   124.708,     1.310
   124.795,     1.308
   124.882,     1.306
   124.970,     1.304
   125.057,     1.302
   125.145,     1.300
   125.232,     1.299
   125.319,     1.297
   125.407,     1.295
   125.494,     1.293
   125.581,     1.291
   125.669,     1.289
   125.756,     1.287
   125.843,     1.286
   125.931,     1.284
   126.018,     1.282
   126.105,     1.280
   126.193,     1.278
   126.280,     1.276
   126.367,     1.274
   126.455,     1.273
   126.542,     1.271
   126.630,     1.269
   126.717,     1.267
   126.804,     1.265
   126.892,     1.263
   126.979,     1.261
   127.066,     1.259
   127.154,     1.258
   127.241,     1.256
   127.328,     1.254
   127.416,     1.252
   127.503,     1.250
   127.590,     1.248
   127.678,     1.246
   127.765,     1.245
   127.853,     1.243
   127.940,     1.241
   128.027,     1.239
   128.115,     1.237
   128.202,     1.235
   128.289,     1.233
   128.377,     1.232
   128.464,     1.230
   128.551,     1.228
   128.639,     1.226
   128.726,     1.224
   128.813,     1.222
   128.901,     1.220
   128.988,     1.219
   129.075,     1.217
   129.163,     1.215
   129.250,     1.213
   129.338,     1.211
   129.425,     1.209
   129.512,     1.207
   129.600,     1.206
   129.687,     1.204
   129.774,     1.202
   129.862,     1.200
   129.949,     1.198
   130.036,     1.196
   130.124,     1.194
   130.211,     1.193
   130.298,     1.191
   130.386,     1.189
   130.473,     1.187
   130.561,     1.185
   130.648,     1.183
   130.735,     1.181
   130.823,     1.180
   130.910,     1.178
   130.997,     1.176
   131.085,     1.174
   131.172,     1.172
   131.259,     1.170
   131.347,     1.168
   131.434,     1.167
   131.521,     1.165
   131.609,     1.163
   131.696,     1.161
   131.783,     1.159
   131.871,     1.157
   131.958,     1.155
   132.046,     1.154
   132.133,     1.152
   132.220,     1.150
   132.308,     1.148
   132.395,     1.146
   132.482,     1.144
   132.570,     1.142
   132.657,     1.141
   132.744,     1.139
   132.832,     1.137
   132.919,     1.135
   133.006,     1.133
   133.094,     1.131
   133.181,     1.129
   133.268,     1.128
   133.356,     1.126
   133.443,     1.124
   133.531,     1.122
   133.618,     1.120
   133.705,     1.118
   133.793,     1.116
   133.880,     1.115
   133.967,     1.113
